"ensembl.id" "symbol" "type"
"98" "ENSG00000160087" "UBE2J2" "protein_coding"
"99" "ENSG00000230415" "LINC01786" "lncRNA"
"100" "ENSG00000162572" "SCNN1D" "protein_coding"
"101" "ENSG00000131584" "ACAP3" "protein_coding"
"103" "ENSG00000169972" "PUSL1" "protein_coding"
"104" "ENSG00000127054" "INTS11" "protein_coding"
"107" "ENSG00000224051" "CPTP" "protein_coding"
"108" "ENSG00000169962" "TAS1R3" "protein_coding"
"109" "ENSG00000107404" "DVL1" "protein_coding"
"111" "ENSG00000162576" "MXRA8" "protein_coding"
"112" "ENSG00000175756" "AURKAIP1" "protein_coding"
"113" "ENSG00000223663" "NDUFB4P8" "processed_pseudogene"
"114" "ENSG00000221978" "CCNL2" "protein_coding"
"116" "ENSG00000242485" "MRPL20" "protein_coding"
"118" "ENSG00000272455" "MRPL20-DT" "lncRNA"
"119" "ENSG00000235098" "ANKRD65" "protein_coding"
"121" "ENSG00000205116" "TMEM88B" "protein_coding"
"122" "ENSG00000225285" "LINC01770" "lncRNA"
"123" "ENSG00000179403" "VWA1" "protein_coding"
"124" "ENSG00000215915" "ATAD3C" "protein_coding"
"125" "ENSG00000160072" "ATAD3B" "protein_coding"
"128" "ENSG00000197785" "ATAD3A" "protein_coding"
"129" "ENSG00000205090" "TMEM240" "protein_coding"
"130" "ENSG00000160075" "SSU72" "protein_coding"
"133" "ENSG00000228594" "FNDC10" "protein_coding"
"136" "ENSG00000197530" "MIB2" "protein_coding"
"137" "ENSG00000189409" "MMP23B" "protein_coding"
"138" "ENSG00000248333" "CDK11B" "protein_coding"
"140" "ENSG00000189339" "SLC35E2B" "protein_coding"
"143" "ENSG00000008128" "CDK11A" "protein_coding"
"147" "ENSG00000215790" "SLC35E2A" "transcribed_unprocessed_pseudogene"
"148" "ENSG00000008130" "NADK" "protein_coding"
"149" "ENSG00000078369" "GNB1" "protein_coding"
"150" "ENSG00000231050" "GNB1-DT" "lncRNA"
"151" "ENSG00000169885" "CALML6" "protein_coding"
"152" "ENSG00000178821" "TMEM52" "protein_coding"
"153" "ENSG00000142609" "CFAP74" "protein_coding"
"155" "ENSG00000187730" "GABRD" "protein_coding"
"156" "ENSG00000226969" "PRKCZ-DT" "lncRNA"
"157" "ENSG00000067606" "PRKCZ" "protein_coding"
"160" "ENSG00000162585" "FAAP20" "protein_coding"
"161" "ENSG00000234396" "ENSG00000234396" "lncRNA"
"162" "ENSG00000157933" "SKI" "protein_coding"
"164" "ENSG00000116151" "MORN1" "protein_coding"
"168" "ENSG00000157916" "RER1" "protein_coding"
"169" "ENSG00000157911" "PEX10" "protein_coding"
"170" "ENSG00000149527" "PLCH2" "protein_coding"
"173" "ENSG00000157881" "PANK4" "protein_coding"
"174" "ENSG00000197921" "HES5" "protein_coding"
"175" "ENSG00000272449" "ENSG00000272449" "lncRNA"
"177" "ENSG00000157873" "TNFRSF14" "protein_coding"
"179" "ENSG00000228037" "ENSG00000228037" "lncRNA"
"181" "ENSG00000157870" "PRXL2B" "protein_coding"
"182" "ENSG00000142606" "MMEL1" "protein_coding"
"184" "ENSG00000215912" "TTC34" "protein_coding"
"187" "ENSG00000233234" "ENSG00000233234" "lncRNA"
"189" "ENSG00000231630" "ENSG00000231630" "lncRNA"
"191" "ENSG00000169717" "ACTRT2" "protein_coding"
"193" "ENSG00000142611" "PRDM16" "protein_coding"
"197" "ENSG00000272235" "ENSG00000272235" "lncRNA"
"200" "ENSG00000130762" "ARHGEF16" "protein_coding"
"201" "ENSG00000272088" "ENSG00000272088" "lncRNA"
"202" "ENSG00000162591" "MEGF6" "protein_coding"
"203" "ENSG00000207776" "MIR551A" "miRNA"
"205" "ENSG00000158109" "TPRG1L" "protein_coding"
"206" "ENSG00000116213" "WRAP73" "protein_coding"
"207" "ENSG00000078900" "TP73" "protein_coding"
"212" "ENSG00000162592" "CCDC27" "protein_coding"
"213" "ENSG00000235169" "SMIM1" "protein_coding"
"214" "ENSG00000130764" "LRRC47" "protein_coding"
"217" "ENSG00000116198" "CEP104" "protein_coding"
"218" "ENSG00000169598" "DFFB" "protein_coding"
"219" "ENSG00000198912" "C1orf174" "protein_coding"
"220" "ENSG00000236423" "LINC01134" "lncRNA"
"221" "ENSG00000233304" "LINC01346" "lncRNA"
"222" "ENSG00000226374" "LINC01345" "lncRNA"
"226" "ENSG00000235054" "LINC01777" "lncRNA"
"228" "ENSG00000227169" "ENSG00000227169" "lncRNA"
"229" "ENSG00000232596" "LINC01646" "lncRNA"
"230" "ENSG00000196581" "AJAP1" "protein_coding"
"234" "ENSG00000231510" "LINC02782" "lncRNA"
"238" "ENSG00000260972" "ENSG00000260972" "lncRNA"
"240" "ENSG00000236948" "ENSG00000236948" "lncRNA"
"241" "ENSG00000264341" "ENSG00000264341" "miRNA"
"243" "ENSG00000264101" "MIR4689" "miRNA"
"244" "ENSG00000131697" "NPHP4" "protein_coding"
"245" "ENSG00000069424" "KCNAB2" "protein_coding"
"246" "ENSG00000116254" "CHD5" "protein_coding"
"248" "ENSG00000116251" "RPL22" "protein_coding"
"250" "ENSG00000158286" "RNF207" "protein_coding"
"251" "ENSG00000116237" "ICMT" "protein_coding"
"252" "ENSG00000225077" "ICMT-DT" "lncRNA"
"253" "ENSG00000173673" "HES3" "protein_coding"
"254" "ENSG00000158292" "GPR153" "protein_coding"
"255" "ENSG00000097021" "ACOT7" "protein_coding"
"257" "ENSG00000069812" "HES2" "protein_coding"
"258" "ENSG00000187017" "ESPN" "protein_coding"
"259" "ENSG00000265392" "MIR4252" "miRNA"
"261" "ENSG00000215788" "TNFRSF25" "protein_coding"
"262" "ENSG00000171680" "PLEKHG5" "protein_coding"
"263" "ENSG00000162408" "NOL9" "protein_coding"
"264" "ENSG00000253022" "RNU6-731P" "snRNA"
"266" "ENSG00000173662" "TAS1R1" "protein_coding"
"267" "ENSG00000204859" "ZBTB48" "protein_coding"
"268" "ENSG00000162413" "KLHL21" "protein_coding"
"269" "ENSG00000116273" "PHF13" "protein_coding"
"270" "ENSG00000041988" "THAP3" "protein_coding"
"271" "ENSG00000007923" "DNAJC11" "protein_coding"
"272" "ENSG00000228750" "LINC01672" "lncRNA"
"275" "ENSG00000171735" "CAMTA1" "protein_coding"
"276" "ENSG00000227950" "ENSG00000227950" "processed_pseudogene"
"278" "ENSG00000207056" "RNU1-8P" "snRNA"
"279" "ENSG00000237402" "CAMTA1-IT1" "lncRNA"
"282" "ENSG00000270171" "ENSG00000270171" "lncRNA"
"283" "ENSG00000270035" "ENSG00000270035" "lncRNA"
"284" "ENSG00000269978" "ENSG00000269978" "lncRNA"
"285" "ENSG00000049245" "VAMP3" "protein_coding"
"287" "ENSG00000049246" "PER3" "protein_coding"
"289" "ENSG00000049247" "UTS2" "protein_coding"
"290" "ENSG00000049249" "TNFRSF9" "protein_coding"
"292" "ENSG00000116288" "PARK7" "protein_coding"
"296" "ENSG00000116285" "ERRFI1" "protein_coding"
"297" "ENSG00000238290" "ERRFI1-DT" "lncRNA"
"299" "ENSG00000229305" "ENSG00000229305" "processed_pseudogene"
"301" "ENSG00000227634" "LINC01714" "lncRNA"
"302" "ENSG00000200975" "RNU1-7P" "snRNA"
"303" "ENSG00000233645" "ENSG00000233645" "lncRNA"
"304" "ENSG00000251977" "RNU6-991P" "snRNA"
"305" "ENSG00000162426" "SLC45A1" "protein_coding"
"307" "ENSG00000142599" "RERE" "protein_coding"
"312" "ENSG00000224315" "RPL7P7" "processed_pseudogene"
"315" "ENSG00000228423" "ENSG00000228423" "lncRNA"
"317" "ENSG00000074800" "ENO1" "protein_coding"
"319" "ENSG00000230679" "ENO1-AS1" "lncRNA"
"320" "ENSG00000201725" "RNU6-304P" "snRNA"
"321" "ENSG00000238249" "HMGN2P17" "processed_pseudogene"
"324" "ENSG00000131686" "CA6" "protein_coding"
"327" "ENSG00000197241" "SLC2A7" "protein_coding"
"328" "ENSG00000142583" "SLC2A5" "protein_coding"
"330" "ENSG00000180758" "GPR157" "protein_coding"
"331" "ENSG00000228526" "MIR34AHG" "lncRNA"
"334" "ENSG00000234546" "LNCTAM34A" "lncRNA"
"335" "ENSG00000049239" "H6PD" "protein_coding"
"336" "ENSG00000171621" "SPSB1" "protein_coding"
"339" "ENSG00000252956" "RNA5SP40" "rRNA_pseudogene"
"340" "ENSG00000235263" "ENSG00000235263" "lncRNA"
"341" "ENSG00000171612" "SLC25A33" "protein_coding"
"343" "ENSG00000188807" "TMEM201" "protein_coding"
"344" "ENSG00000171608" "PIK3CD" "protein_coding"
"346" "ENSG00000233268" "ENSG00000233268" "processed_pseudogene"
"348" "ENSG00000171603" "CLSTN1" "protein_coding"
"351" "ENSG00000178585" "CTNNBIP1" "protein_coding"
"354" "ENSG00000162441" "LZIC" "protein_coding"
"356" "ENSG00000173614" "NMNAT1" "protein_coding"
"359" "ENSG00000265521" "MIR5697" "miRNA"
"361" "ENSG00000162444" "RBP7" "protein_coding"
"362" "ENSG00000130939" "UBE4B" "protein_coding"
"365" "ENSG00000201746" "RNU6-828P" "snRNA"
"366" "ENSG00000054523" "KIF1B" "protein_coding"
"367" "ENSG00000264881" "ENSG00000264881" "miRNA"
"368" "ENSG00000199562" "RNU6-37P" "snRNA"
"372" "ENSG00000142657" "PGD" "protein_coding"
"375" "ENSG00000175279" "CENPS" "protein_coding"
"376" "ENSG00000241563" "CORT" "protein_coding"
"377" "ENSG00000160049" "DFFA" "protein_coding"
"379" "ENSG00000142655" "PEX14" "protein_coding"
"381" "ENSG00000243267" "RN7SL614P" "misc_RNA"
"382" "ENSG00000130940" "CASZ1" "protein_coding"
"385" "ENSG00000175262" "C1orf127" "protein_coding"
"387" "ENSG00000120948" "TARDBP" "protein_coding"
"388" "ENSG00000009724" "MASP2" "protein_coding"
"389" "ENSG00000116649" "SRM" "protein_coding"
"390" "ENSG00000171824" "EXOSC10" "protein_coding"
"393" "ENSG00000198793" "MTOR" "protein_coding"
"395" "ENSG00000253086" "RNU6-537P" "snRNA"
"396" "ENSG00000171819" "ANGPTL7" "protein_coding"
"397" "ENSG00000207451" "RNU6-291P" "snRNA"
"399" "ENSG00000120942" "UBIAD1" "protein_coding"
"400" "ENSG00000238199" "UBE2V2P3" "processed_pseudogene"
"403" "ENSG00000204624" "DISP3" "protein_coding"
"405" "ENSG00000235643" "LINC01647" "lncRNA"
"407" "ENSG00000116661" "FBXO2" "protein_coding"
"408" "ENSG00000132879" "FBXO44" "protein_coding"
"409" "ENSG00000116670" "MAD2L2" "protein_coding"
"410" "ENSG00000116663" "FBXO6" "protein_coding"
"411" "ENSG00000162490" "DRAXIN" "protein_coding"
"412" "ENSG00000177674" "AGTRAP" "protein_coding"
"413" "ENSG00000215910" "C1orf167" "protein_coding"
"415" "ENSG00000177000" "MTHFR" "protein_coding"
"416" "ENSG00000011021" "CLCN6" "protein_coding"
"419" "ENSG00000175206" "NPPA" "protein_coding"
"421" "ENSG00000120937" "NPPB" "protein_coding"
"422" "ENSG00000224904" "SBF1P2" "processed_pseudogene"
"424" "ENSG00000199347" "RNU5E-1" "snRNA"
"425" "ENSG00000201801" "RNU5E-4P" "snRNA"
"426" "ENSG00000116685" "KIAA2013" "protein_coding"
"427" "ENSG00000083444" "PLOD1" "protein_coding"
"429" "ENSG00000116688" "MFN2" "protein_coding"
"431" "ENSG00000116691" "MIIP" "protein_coding"
"435" "ENSG00000120949" "TNFRSF8" "protein_coding"
"436" "ENSG00000201135" "RNU6-777P" "snRNA"
"437" "ENSG00000227875" "RPL23AP89" "processed_pseudogene"
"440" "ENSG00000028137" "TNFRSF1B" "protein_coding"
"441" "ENSG00000263676" "MIR4632" "miRNA"
"444" "ENSG00000048707" "VPS13D" "protein_coding"
"446" "ENSG00000229484" "LINC02766" "lncRNA"
"447" "ENSG00000162496" "DHRS3" "protein_coding"
"448" "ENSG00000221340" "RNU6ATAC18P" "snRNA"
"451" "ENSG00000272482" "ENSG00000272482" "lncRNA"
"452" "ENSG00000204518" "AADACL4" "protein_coding"
"454" "ENSG00000188984" "AADACL3" "protein_coding"
"455" "ENSG00000157330" "CFAP107" "protein_coding"
"456" "ENSG00000116726" "PRAMEF12" "protein_coding"
"457" "ENSG00000116721" "PRAMEF1" "protein_coding"
"458" "ENSG00000228338" "LINC01784" "lncRNA"
"459" "ENSG00000239810" "PRAMEF11" "protein_coding"
"460" "ENSG00000231103" "PRAMEF30P" "unprocessed_pseudogene"
"461" "ENSG00000179172" "HNRNPCL1" "protein_coding"
"462" "ENSG00000120952" "PRAMEF2" "protein_coding"
"463" "ENSG00000243073" "PRAMEF4" "protein_coding"
"464" "ENSG00000187545" "PRAMEF10" "protein_coding"
"465" "ENSG00000204510" "PRAMEF7" "protein_coding"
"466" "ENSG00000207434" "RNU6-1072P" "snRNA"
"467" "ENSG00000234064" "PRAMEF29P" "unprocessed_pseudogene"
"468" "ENSG00000232423" "PRAMEF6" "protein_coding"
"472" "ENSG00000229571" "PRAMEF25" "protein_coding"
"478" "ENSG00000233336" "ENSG00000233336" "lncRNA"
"480" "ENSG00000179412" "HNRNPCL4" "protein_coding"
"481" "ENSG00000204505" "PRAMEF9" "protein_coding"
"487" "ENSG00000207511" "RNU6-771P" "snRNA"
"488" "ENSG00000182330" "PRAMEF8" "protein_coding"
"489" "ENSG00000237700" "PRAMEF33" "protein_coding"
"490" "ENSG00000204501" "PRAMEF15" "protein_coding"
"491" "ENSG00000228229" "ENSG00000228229" "lncRNA"
"492" "ENSG00000204481" "PRAMEF14" "protein_coding"
"493" "ENSG00000204480" "PRAMEF19" "protein_coding"
"494" "ENSG00000204479" "PRAMEF17" "protein_coding"
"495" "ENSG00000204478" "PRAMEF20" "protein_coding"
"496" "ENSG00000162494" "LRRC38" "protein_coding"
"499" "ENSG00000162493" "PDPN" "protein_coding"
"501" "ENSG00000237445" "ENSG00000237445" "lncRNA"
"503" "ENSG00000116731" "PRDM2" "protein_coding"
"505" "ENSG00000189337" "KAZN" "protein_coding"
"506" "ENSG00000252151" "RNU6-1265P" "snRNA"
"507" "ENSG00000231606" "ENSG00000231606" "lncRNA"
"508" "ENSG00000234593" "KAZN-AS1" "lncRNA"
"512" "ENSG00000171729" "TMEM51" "protein_coding"
"513" "ENSG00000204464" "TMEM51-AS2" "lncRNA"
"514" "ENSG00000215720" "MFFP1" "processed_pseudogene"
"516" "ENSG00000142621" "FHAD1" "protein_coding"
"519" "ENSG00000228140" "EFHD2-AS1" "lncRNA"
"520" "ENSG00000142634" "EFHD2" "protein_coding"
"521" "ENSG00000162438" "CTRC" "protein_coding"
"522" "ENSG00000142615" "CELA2A" "protein_coding"
"523" "ENSG00000215704" "CELA2B" "protein_coding"
"524" "ENSG00000132906" "CASP9" "protein_coding"
"525" "ENSG00000116138" "DNAJC16" "protein_coding"
"528" "ENSG00000116771" "AGMAT" "protein_coding"
"529" "ENSG00000237301" "ENSG00000237301" "lncRNA"
"531" "ENSG00000252417" "RNU7-179P" "snRNA"
"533" "ENSG00000197312" "DDI2" "protein_coding"
"535" "ENSG00000271742" "ENSG00000271742" "lncRNA"
"536" "ENSG00000116786" "PLEKHM2" "protein_coding"
"538" "ENSG00000162461" "SLC25A34" "protein_coding"
"540" "ENSG00000162460" "TMEM82" "protein_coding"
"541" "ENSG00000162458" "FBLIM1" "protein_coding"
"543" "ENSG00000233954" "UQCRHL" "protein_coding"
"546" "ENSG00000065526" "SPEN" "protein_coding"
"548" "ENSG00000116809" "ZBTB17" "protein_coding"
"553" "ENSG00000183888" "SRARP" "protein_coding"
"555" "ENSG00000173641" "HSPB7" "protein_coding"
"556" "ENSG00000186510" "CLCNKA" "protein_coding"
"558" "ENSG00000184908" "CLCNKB" "protein_coding"
"559" "ENSG00000185519" "FAM131C" "protein_coding"
"560" "ENSG00000142627" "EPHA2" "protein_coding"
"562" "ENSG00000224621" "ENSG00000224621" "lncRNA"
"564" "ENSG00000142632" "ARHGEF19" "protein_coding"
"566" "ENSG00000237276" "ANO7L1" "transcribed_unprocessed_pseudogene"
"568" "ENSG00000132881" "CPLANE2" "protein_coding"
"570" "ENSG00000037637" "FBXO42" "protein_coding"
"571" "ENSG00000055070" "SZRD1" "protein_coding"
"573" "ENSG00000187144" "SPATA21" "protein_coding"
"574" "ENSG00000157191" "NECAP2" "protein_coding"
"575" "ENSG00000226029" "LINC01772" "lncRNA"
"577" "ENSG00000080947" "CROCCP3" "transcribed_unprocessed_pseudogene"
"578" "ENSG00000206652" "RNU1-1" "snRNA"
"579" "ENSG00000261135" "ENSG00000261135" "lncRNA"
"581" "ENSG00000224174" "ENSG00000224174" "lncRNA"
"582" "ENSG00000233421" "LINC01783" "lncRNA"
"585" "ENSG00000219481" "NBPF1" "protein_coding"
"586" "ENSG00000271732" "ENSG00000271732" "lncRNA"
"590" "ENSG00000186301" "MST1P2" "unprocessed_pseudogene"
"592" "ENSG00000207513" "RNU1-3" "snRNA"
"594" "ENSG00000236698" "EIF1AXP1" "processed_pseudogene"
"599" "ENSG00000058453" "CROCC" "protein_coding"
"601" "ENSG00000207389" "RNU1-4" "snRNA"
"605" "ENSG00000223643" "ENSG00000223643" "lncRNA"
"607" "ENSG00000263811" "MIR3675" "miRNA"
"608" "ENSG00000228549" "ENSG00000228549" "lncRNA"
"610" "ENSG00000238142" "ENSG00000238142" "lncRNA"
"612" "ENSG00000207005" "RNU1-2" "snRNA"
"613" "ENSG00000272426" "ENSG00000272426" "lncRNA"
"615" "ENSG00000117122" "MFAP2" "protein_coding"
"618" "ENSG00000159363" "ATP13A2" "protein_coding"
"620" "ENSG00000117118" "SDHB" "protein_coding"
"621" "ENSG00000117115" "PADI2" "protein_coding"
"622" "ENSG00000204362" "LINC02783" "lncRNA"
"624" "ENSG00000142623" "PADI1" "protein_coding"
"625" "ENSG00000142619" "PADI3" "protein_coding"
"626" "ENSG00000266634" "MIR3972" "miRNA"
"627" "ENSG00000159339" "PADI4" "protein_coding"
"630" "ENSG00000179051" "RCC2" "protein_coding"
"632" "ENSG00000074964" "ARHGEF10L" "protein_coding"
"633" "ENSG00000236648" "LINC02810" "lncRNA"
"634" "ENSG00000117148" "ACTL8" "protein_coding"
"636" "ENSG00000261781" "LINC01654" "lncRNA"
"637" "ENSG00000117154" "IGSF21" "protein_coding"
"640" "ENSG00000225387" "ENSG00000225387" "lncRNA"
"641" "ENSG00000179023" "KLHDC7A" "protein_coding"
"644" "ENSG00000009709" "PAX7" "protein_coding"
"645" "ENSG00000179002" "TAS1R2" "protein_coding"
"646" "ENSG00000159423" "ALDH4A1" "protein_coding"
"647" "ENSG00000265606" "MIR4695" "miRNA"
"648" "ENSG00000221662" "MIR1290" "miRNA"
"649" "ENSG00000169991" "IFFO2" "protein_coding"
"651" "ENSG00000127481" "UBR4" "protein_coding"
"653" "ENSG00000127463" "EMC1" "protein_coding"
"654" "ENSG00000053372" "MRTO4" "protein_coding"
"657" "ENSG00000162482" "AKR7A3" "protein_coding"
"659" "ENSG00000053371" "AKR7A2" "protein_coding"
"660" "ENSG00000200403" "RNU6-1099P" "snRNA"
"661" "ENSG00000040487" "SLC66A1" "protein_coding"
"662" "ENSG00000077549" "CAPZB" "protein_coding"
"663" "ENSG00000240490" "RN7SL277P" "misc_RNA"
"664" "ENSG00000173436" "MICOS10" "protein_coding"
"665" "ENSG00000201609" "RNU4-28P" "snRNA"
"667" "ENSG00000158747" "NBL1" "protein_coding"
"670" "ENSG00000158748" "HTR6" "protein_coding"
"671" "ENSG00000162542" "TMCO4" "protein_coding"
"672" "ENSG00000178828" "RNF186" "protein_coding"
"674" "ENSG00000169914" "OTUD3" "protein_coding"
"675" "ENSG00000188784" "PLA2G2E" "protein_coding"
"677" "ENSG00000188257" "PLA2G2A" "protein_coding"
"678" "ENSG00000127472" "PLA2G5" "protein_coding"
"679" "ENSG00000117215" "PLA2G2D" "protein_coding"
"680" "ENSG00000158786" "PLA2G2F" "protein_coding"
"681" "ENSG00000227066" "ENSG00000227066" "lncRNA"
"682" "ENSG00000187980" "PLA2G2C" "protein_coding"
"683" "ENSG00000162543" "UBXN10" "protein_coding"
"684" "ENSG00000228105" "LINC01757" "lncRNA"
"686" "ENSG00000158816" "VWA5B1" "protein_coding"
"688" "ENSG00000236963" "LINC01141" "lncRNA"
"689" "ENSG00000226487" "ENSG00000226487" "lncRNA"
"692" "ENSG00000162545" "CAMK2N1" "protein_coding"
"694" "ENSG00000090432" "MUL1" "protein_coding"
"695" "ENSG00000215520" "RPS4XP4" "processed_pseudogene"
"696" "ENSG00000183114" "FAM43B" "protein_coding"
"697" "ENSG00000158825" "CDA" "protein_coding"
"698" "ENSG00000158828" "PINK1" "protein_coding"
"701" "ENSG00000244038" "DDOST" "protein_coding"
"702" "ENSG00000117245" "KIF17" "protein_coding"
"704" "ENSG00000189410" "SH2D5" "protein_coding"
"706" "ENSG00000127483" "HP1BP3" "protein_coding"
"707" "ENSG00000075151" "EIF4G3" "protein_coding"
"708" "ENSG00000251914" "RNU7-200P" "snRNA"
"709" "ENSG00000221808" "MIR1256" "miRNA"
"714" "ENSG00000117298" "ECE1" "protein_coding"
"715" "ENSG00000236936" "ENSG00000236936" "lncRNA"
"716" "ENSG00000231105" "ECE1-AS1" "lncRNA"
"719" "ENSG00000236009" "ENSG00000236009" "lncRNA"
"722" "ENSG00000186543" "CROCCP5" "unprocessed_pseudogene"
"723" "ENSG00000142794" "NBPF3" "protein_coding"
"725" "ENSG00000162551" "ALPL" "protein_coding"
"728" "ENSG00000076864" "RAP1GAP" "protein_coding"
"729" "ENSG00000090686" "USP48" "protein_coding"
"731" "ENSG00000187942" "LDLRAD2" "protein_coding"
"732" "ENSG00000142798" "HSPG2" "protein_coding"
"735" "ENSG00000219073" "CELA3B" "protein_coding"
"738" "ENSG00000201919" "RNU6-1022P" "snRNA"
"739" "ENSG00000142789" "CELA3A" "protein_coding"
"741" "ENSG00000201273" "RNU6-776P" "snRNA"
"742" "ENSG00000228397" "LINC01635" "lncRNA"
"747" "ENSG00000070831" "CDC42" "protein_coding"
"750" "ENSG00000162552" "WNT4" "protein_coding"
"752" "ENSG00000266564" "MIR4418" "miRNA"
"753" "ENSG00000234397" "PPIAP34" "processed_pseudogene"
"755" "ENSG00000184677" "ZBTB40" "protein_coding"
"756" "ENSG00000237200" "ZBTB40-IT1" "lncRNA"
"757" "ENSG00000070886" "EPHA8" "protein_coding"
"759" "ENSG00000173372" "C1QA" "protein_coding"
"761" "ENSG00000159189" "C1QC" "protein_coding"
"762" "ENSG00000173369" "C1QB" "protein_coding"
"763" "ENSG00000133216" "EPHB2" "protein_coding"
"764" "ENSG00000265422" "MIR4684" "miRNA"
"766" "ENSG00000264014" "MIR4253" "miRNA"
"767" "ENSG00000215906" "LACTBL1" "protein_coding"
"768" "ENSG00000227868" "TEX46" "protein_coding"
"769" "ENSG00000004487" "KDM1A" "protein_coding"
"771" "ENSG00000263793" "MIR3115" "miRNA"
"772" "ENSG00000266802" "ENSG00000266802" "miRNA"
"773" "ENSG00000169641" "LUZP1" "protein_coding"
"775" "ENSG00000206935" "RNU6-514P" "snRNA"
"776" "ENSG00000252578" "RNU6-135P" "snRNA"
"778" "ENSG00000179546" "HTR1D" "protein_coding"
"780" "ENSG00000261326" "LINC01355" "lncRNA"
"782" "ENSG00000125944" "HNRNPR" "protein_coding"
"783" "ENSG00000125945" "ZNF436" "protein_coding"
"786" "ENSG00000271420" "ENSG00000271420" "lncRNA"
"787" "ENSG00000204219" "TCEA3" "protein_coding"
"789" "ENSG00000088280" "ASAP3" "protein_coding"
"790" "ENSG00000007968" "E2F2" "protein_coding"
"791" "ENSG00000235052" "ENSG00000235052" "lncRNA"
"792" "ENSG00000117318" "ID3" "protein_coding"
"794" "ENSG00000197880" "MDS2" "lncRNA"
"796" "ENSG00000142676" "RPL11" "protein_coding"
"797" "ENSG00000236810" "ELOA-AS1" "lncRNA"
"798" "ENSG00000011007" "ELOA" "protein_coding"
"799" "ENSG00000057757" "PITHD1" "protein_coding"
"801" "ENSG00000011009" "LYPLA2" "protein_coding"
"802" "ENSG00000117308" "GALE" "protein_coding"
"803" "ENSG00000117305" "HMGCL" "protein_coding"
"804" "ENSG00000179163" "FUCA1" "protein_coding"
"805" "ENSG00000188822" "CNR2" "protein_coding"
"808" "ENSG00000264926" "MIR378F" "miRNA"
"810" "ENSG00000189266" "PNRC2" "protein_coding"
"811" "ENSG00000188529" "SRSF10" "protein_coding"
"814" "ENSG00000142661" "MYOM3" "protein_coding"
"816" "ENSG00000142677" "IL22RA1" "protein_coding"
"817" "ENSG00000185436" "IFNLR1" "protein_coding"
"818" "ENSG00000158055" "GRHL3" "protein_coding"
"819" "ENSG00000230023" "LINC02800" "lncRNA"
"821" "ENSG00000001460" "STPG1" "protein_coding"
"822" "ENSG00000001461" "NIPAL3" "protein_coding"
"825" "ENSG00000117602" "RCAN3" "protein_coding"
"826" "ENSG00000264443" "NCMAP-DT" "lncRNA"
